tournament_id,tournament_name,league_band,first_seen_at_utc,last_seen_at_utc,first_scheduled_start_utc,latest_scheduled_start_utc,source
35145,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T22:00:12.485000+00:00,2026-07-12T03:32:13.705000+00:00,api.league-pro.com
35146,Tournament A16. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T06:00:10.250000+00:00,2026-07-11T09:30:10.772000+00:00,api.league-pro.com
35147,Tournament A16. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T10:09:05.035000+00:00,2026-07-11T13:34:18.376000+00:00,api.league-pro.com
35148,Tournament A16. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T14:00:56.424000+00:00,2026-07-11T17:30:16.335000+00:00,api.league-pro.com
35149,Tournament A17. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T06:00:13.386000+00:00,2026-07-11T09:30:09.978000+00:00,api.league-pro.com
35150,Tournament A17. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T10:00:08.308000+00:00,2026-07-11T13:30:05.403000+00:00,api.league-pro.com
35151,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T14:00:09.210000+00:00,2026-07-11T17:32:33.660000+00:00,api.league-pro.com
35152,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T18:00:11.642000+00:00,2026-07-11T21:30:10.018000+00:00,api.league-pro.com
35153,Tournament A16. League 700-800,700-800,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T18:00:20.253000+00:00,2026-07-11T21:30:13.724000+00:00,api.league-pro.com
35154,Tournament A18. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T10:00:08.048000+00:00,2026-07-11T13:30:08.672000+00:00,api.league-pro.com
35155,Tournament A18. League 700-800,700-800,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T14:00:09.572000+00:00,2026-07-11T17:30:11.948000+00:00,api.league-pro.com
35156,Tournament A18. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T18:00:07.798000+00:00,2026-07-11T21:30:09.646000+00:00,api.league-pro.com
35157,Tournament A18. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T06:00:10.970000+00:00,2026-07-11T09:30:10.648000+00:00,api.league-pro.com
35158,Tournament A17. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T22:04:11.090000+00:00,2026-07-12T03:31:41.367000+00:00,api.league-pro.com
35159,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T06:00:09.773000+00:00,2026-07-12T09:30:08.201000+00:00,api.league-pro.com
35160,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T10:00:18.575000+00:00,2026-07-12T13:30:08.847000+00:00,api.league-pro.com
35161,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T14:00:07.881000+00:00,2026-07-12T17:30:10.658000+00:00,api.league-pro.com
35162,Tournament A12. League 450-500,450-500,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T18:00:10.973000+00:00,2026-07-12T21:29:42.585000+00:00,api.league-pro.com
35163,Tournament A12. League 400-450,400-450,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T22:00:09.167000+00:00,2026-07-13T03:30:09.216000+00:00,api.league-pro.com
35164,Tournament A14. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-24T12:33:17.461110+00:00,2026-07-12T06:00:18.905000+00:00,2026-07-12T09:30:16.891000+00:00,api.league-pro.com
35165,Tournament A14. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T10:01:51.256000+00:00,2026-07-12T13:30:01.473000+00:00,api.league-pro.com
35166,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T14:00:31.406000+00:00,2026-07-12T17:30:20.209000+00:00,api.league-pro.com
35167,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T18:00:10.627000+00:00,2026-07-12T21:30:47.299000+00:00,api.league-pro.com
35168,Tournament A14. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-12T22:00:43.009000+00:00,2026-07-13T03:30:10.802000+00:00,api.league-pro.com
